Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,ES,AESS7,c,AESS7_a2,,,,,subplot,-105.5904419,40.06142797,3456.16,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 10:29:50.8 UTC-06:00,2023-09-29 10:29:50.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,13.779,Global CS,
A,ES,AESS7,d,AESS7_a3,,,,,subplot,-105.5904448,40.06143187,3456.152,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:29:54.2 UTC-06:00,2023-09-29 10:29:54.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,14.18,Global CS,
A,ES,AESS3,a,AESS3_a,,,,,subplot,-105.5904039,40.06141798,3455.616,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:10.0 UTC-06:00,2023-09-29 10:30:10.0 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,13.573,Global CS,
A,ES,AESS3,b,AESS3_a1,,,,,subplot,-105.5904067,40.06142121,3455.603,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:13.0 UTC-06:00,2023-09-29 10:30:13.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,13.822,Global CS,
A,ES,AESS3,c,AESS3_a2,,,,,subplot,-105.5903948,40.06142263,3455.355,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:30:15.8 UTC-06:00,2023-09-29 10:30:15.8 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,14.379,Global CS,
A,ES,AESS3,d,AESS3_a3,,,,,subplot,-105.590397,40.06142646,3455.353,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:20.0 UTC-06:00,2023-09-29 10:30:20.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,14.692,Global CS,
A,ES,AESS4,a,AESS4_a,,,,,subplot,-105.5903339,40.06145762,3452.682,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:45.8 UTC-06:00,2023-09-29 10:30:45.8 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,20.715,Global CS,
A,ES,AESS4,b,AESS4_a1,,,,,subplot,-105.5903375,40.06146193,3452.644,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:49.2 UTC-06:00,2023-09-29 10:30:49.2 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,20.96,Global CS,
A,ES,AESS4,c,AESS4_a2,,,,,subplot,-105.5903243,40.06146248,3452.365,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:52.4 UTC-06:00,2023-09-29 10:30:52.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,21.666,Global CS,
A,ES,AESS4,d,AESS4_a3,,,,,subplot,-105.590328,40.06146632,3452.353,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:30:55.4 UTC-06:00,2023-09-29 10:30:55.4 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,21.847,Global CS,
A,ES,AESS8,a,AESS8_a,,,,,subplot,-105.5903154,40.06147263,3451.853,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:31:12.2 UTC-06:00,2023-09-29 10:31:12.2 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,23.111,Global CS,
A,ES,AESS8,b,AESS8_a1,,,,,subplot,-105.5903178,40.06147591,3451.827,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:31:15.4 UTC-06:00,2023-09-29 10:31:15.4 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,23.304,Global CS,
A,ES,AESS8,c,AESS8_a2,,,,,subplot,-105.5903038,40.06147647,3451.603,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:31:19.0 UTC-06:00,2023-09-29 10:31:19.0 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,24.057,Global CS,
A,ES,AESS8,d,AESS8_a3,,,,,subplot,-105.5903073,40.06148097,3451.587,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:31:22.6 UTC-06:00,2023-09-29 10:31:22.6 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,24.296,Global CS,
A,ES,AEWA,c,AEWA,,,,,itex,-105.5906398,40.06134673,3460.069,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:35:10.4 UTC-06:00,2023-09-29 10:35:10.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,16.078,Global CS,
A,ES,AEWA,b,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
A,ES,AECA,c,,,,,,itex,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
