"","Site","Plot","Original_N","slope","aspect","elevation","tp11","tp3","tp31","cosaspect","radiation"
"50","S","CO","SCOS2",0.465920029638604,167.754217942857,3384.890625,-0.00254211425794892,0.027679443359375,0.0510331471759855,-0.315505223410142,-0.141739129538798
"51","S","CO","SCOS3",0.415860654450112,163.930875276659,3378.57421875,-0.053175862630269,-0.01690673828125,-0.523742167154978,0.842947734367791,0.340531817118628
"52","S","CO","SCOS4",0.447262498351366,162.707131887417,3374.06140136719,0.0447794596352651,-0.012969970703125,-0.591270573933798,0.792629797776659,0.3428115409831
"53","S","CO","SCOS5",0.460698094515232,167.420739691627,3386.77368164062,-0.123006184895758,-0.0317535400390625,0.215888468424509,-0.60873668079187,-0.270628213846884
"54","S","CO","SCOS6",0.466823138362305,167.077677195985,3384.77874755859,-0.00877075195319321,0.033477783203125,0.0489947001139323,-0.840133748438309,-0.378103550877888
"55","S","CO","SCOS7",0.44068843386635,164.803667246016,3379.11572265625,-0.115558878580714,0.025299072265625,-0.5830469767252,0.129581656537088,0.0552746398310707
"56","S","CO","SCOS8",0.427412894838918,158.15826302089,3375.88647460938,0.0503794352212026,0.010009765625,-0.61021575927748,0.472535902793537,0.195874552292645
"57","S","ES","SESS1",0.388731991128084,173.142828538763,3387.96411132812,-0.166383870442814,-0.049835205078125,0.070670572916697,-0.937565616953886,-0.355351729425784
"58","S","ES","SESS2",0.416237977928213,173.190686036974,3385.44897460938,0.0311299641925871,-0.00811767578125,0.242090098063272,-0.919853260930831,-0.371917383835785
"59","S","ES","SESS3",0.416573946451709,165.369465484215,3381.66845703125,0.197757297092115,0.059814453125,0.381996663411428,-0.422182149874124,-0.170827468086239
"60","S","ES","SESS4",0.413852365154168,169.624651461034,3375.34033203125,0.167327880859375,-0.003143310546875,0.194303385416788,0.999772058277823,0.402047781367165
"61","S","ES","SESS5",0.389556486913672,176.371036130307,3387.92749023438,-0.028126017252589,0.00738525390625,0.226449457804392,0.903963183912043,0.343305482352808
"62","S","ES","SESS6",0.438690153458274,169.650487045502,3384.42602539062,0.103175862629996,0.01129150390625,0.28688252766915,0.999989948002395,0.424749744549668
"63","S","ES","SESS7",0.406533668446072,155.403060900942,3379.09594726562,0.0833201090495095,-0.006103515625,0.172628784179778,-0.105578318241171,-0.0417486121154731
"64","S","ES","SESS8",0.405963941645072,164.35608949144,3375.60388183594,0.217483520507812,0.0481414794921875,0.258881251017328,0.545951866241727,0.215598869646247
"65","T","CO","TCOS1",0.273785468052792,165.826747081011,3417.18096923828,0.106288655598973,-0.0169525146484375,0.26142889658604,-0.779039732693622,-0.210635080835885
"66","T","CO","TCOS2",0.273310371903393,158.941368601625,3415.14526367188,-0.0746826171873636,0.0020751953125,-0.361606216430573,-0.286852460227818,-0.0774273335202158
"67","T","CO","TCOS3",0.292032517016716,157.006843367112,3414.18090820312,-0.242113240559775,-0.0538330078125,-0.694002914428665,0.997352027454097,0.287136930705257
"68","T","CO","TCOS4",0.176586526167169,132.911745813924,3411.033203125,-0.123158772786383,-0.0101470947265625,-0.58671531677237,0.569536590885918,0.100050613798775
"69","T","CO","TCOS5",0.29496774474516,156.282741354747,3416.03527832031,0.084652709960892,0.032623291015625,0.0272418975830533,0.698933366450149,0.203186211692906
"70","T","CO","TCOS6",0.283582553995598,153.063471586537,3414.99145507812,-0.0382032606336603,-0.00474039713541667,-0.317795477973201,-0.641328040025075,-0.179441597951229
"71","T","CO","TCOS7",0.209701965630426,157.741258548215,3412.74943033854,-0.229163953993066,-0.0121663411458333,-0.87302288479259,0.788994340269926,0.164243692393728
"72","T","CO","TCOS8",0.21085924280173,138.890539350154,3410.05224609375,-0.097814941406341,-0.0245361328125,-0.513531239827444,0.789708523906115,0.165286143160991
"73","T","ES","TESS1",0.239693053143883,142.707975752336,3418.14868164062,0.580165608723746,0.138519287109375,0.869041697184457,-0.23234695932156,-0.0551602058268731
"74","T","ES","TESS2",0.312113855844951,150.510015435928,3416.43591308594,0.123210652669286,0.01324462890625,0.228783035278184,0.959258069346235,0.294560381872539
"75","T","ES","TESS3",0.20976465987276,157.518688130872,3412.54846191406,-0.0919209798178144,0.00212860107421875,-0.647318204243902,0.90515358009621,0.188479880301829
"76","T","ES","TESS4",0.203288521508169,150.680444388074,3410.21612548828,-0.142701721191543,-0.00151570638020833,-0.752314758300903,0.993279195547639,0.200534349350027
"77","T","ES","TESS5",0.30423907108831,146.227301442015,3416.92993164062,0.193267822265625,0.0146484375,0.383786519368641,-0.142753695277844,-0.0427643360071862
"78","T","ES","TESS6",0.295995413720005,151.691190488918,3415.42260742188,-0.123883056640693,0.00742594401041667,-0.115160030788805,0.6257192185057,0.182517365312229
"79","T","ES","TESS7",0.212932426500054,158.551396094989,3412.38610839844,-0.0968872070313864,-0.00078582763671875,-0.609532292683866,0.0988711128226952,0.0208941359780621
"80","T","ES","TESS8",0.201551452927736,153.714801535001,3410.21166992188,-0.187894694010538,-0.0013580322265625,-0.751644261678166,-0.975185598402179,-0.195222032664627
