Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
T,ES,TECB,c,TECB,,,,,itex,-105.5822626,40.04997275,3399.891,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:52:23.0 UTC-06:00,2023-09-29 08:52:23.0 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,6.713,Global CS,
T,ES,TECB,b,TECB1,,,,,itex,-105.5822549,40.04998256,3399.992,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:52:37.4 UTC-06:00,2023-09-29 08:52:37.4 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,7.982,Global CS,
T,ES,TEWC,c,TEWC,,,,,itex,-105.5822342,40.04985753,3397.725,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 08:53:04.6 UTC-06:00,2023-09-29 08:53:04.6 UTC-06:00,1,1.4,,,,-105.5822951,40.04991788,3401.371,8.656,Global CS,
T,ES,TEWC,b,TEWC1,,,,,itex,-105.5822306,40.04986844,3397.967,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 08:53:09.6 UTC-06:00,2023-09-29 08:53:09.6 UTC-06:00,1,1.2,,,,-105.5822951,40.04991788,3401.371,7.913,Global CS,
T,ES,TECC,c,TECC,,,,,itex,-105.5822211,40.0498628,3397.677,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:54:02.6 UTC-06:00,2023-09-29 08:54:02.6 UTC-06:00,1,1.5,,,,-105.5822951,40.04991788,3401.371,8.972,Global CS,
T,ES,TECC,b,TECC1,,,,,itex,-105.5822151,40.04987361,3397.933,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:55:05.6 UTC-06:00,2023-09-29 08:55:05.6 UTC-06:00,1,1.5,,,,-105.5822951,40.04991788,3401.371,8.548,Global CS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,CO,TCO,a,TCO1,,,,,plot,-105.58253,40.05002186,3404.492,Global,0.013,0.01,0.021,0.016,1.934,m,FIX,2023-09-29 08:55:46.6 UTC-06:00,2023-09-29 08:55:46.6 UTC-06:00,1,2.3,,,,-105.5822951,40.04991788,3401.371,23.692,Global CS,
T,CO,TCO,b,,,,,,plot,,,,,,,,,,,,,,,,,,,,,,,,could not find marker
T,CO,TCO,c,TCO3,,,,,plot,-105.5823969,40.04968668,3395.65,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 09:00:36.0 UTC-06:00,2023-09-29 09:00:36.0 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,27.378,Global CS,
T,CO,TCO,d,TCO4,,,,,plot,-105.5822887,40.04972067,3395.103,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 09:00:46.4 UTC-06:00,2023-09-29 09:00:46.4 UTC-06:00,1,1.5,,,,-105.5822951,40.04991788,3401.371,22.34,Global CS,
T,CO,TCOT1,bottom,TCOT1,,,,,transect,-105.5823821,40.0496927,3395.508,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 09:01:00.8 UTC-06:00,2023-09-29 09:01:00.8 UTC-06:00,1,1.4,,,,-105.5822951,40.04991788,3401.371,26.389,Global CS,
T,CO,TCOT2,bottom,TCOT2,,,,,transect,-105.5823603,40.04969952,3395.221,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 09:01:06.0 UTC-06:00,2023-09-29 09:01:06.0 UTC-06:00,1,1.4,,,,-105.5822951,40.04991788,3401.371,25.242,Global CS,
T,CO,TCOT1,top,TCOT1_top,,,,,transect,-105.5825152,40.05002609,3404.335,Global,0.01,0.01,0.023,0.014,1.934,m,FIX,2023-09-29 08:56:19.8 UTC-06:00,2023-09-29 08:56:19.8 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,22.838,Global CS,
T,CO,TCOT2,top,TCOT2_top,,,,,transect,-105.582493,40.05003246,3404.408,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 08:56:34.0 UTC-06:00,2023-09-29 08:56:34.0 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,21.731,Global CS,
T,CO,TCO_soil,8,TCO_soil4,,,,,soil,-105.5823706,40.04974645,3396.297,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 09:01:28.8 UTC-06:00,2023-09-29 09:01:28.8 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,20.35,Global CS,
T,CO,TCO_soil,7,TCO_soil3,,,,,soil,-105.582397,40.04984289,3398.377,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 09:01:48.6 UTC-06:00,2023-09-29 09:01:48.6 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,12.089,Global CS,
T,CO,TCO_soil,6,TCO_soil2,,,,,soil,-105.5824256,40.04989911,3399.752,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 09:02:04.2 UTC-06:00,2023-09-29 09:02:04.2 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,11.342,Global CS,
T,CO,TCO_soil,5,TCO_soil1,,,,,soil,-105.5824407,40.04993953,3400.498,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 09:02:15.2 UTC-06:00,2023-09-29 09:02:15.2 UTC-06:00,1,1.7,,,,-105.5822951,40.04991788,3401.371,12.707,Global CS,
T,CO,TCOS1,a,TCOS1_a,,,,,subplot,-105.5825013,40.04997246,3402.523,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:56:56.8 UTC-06:00,2023-09-29 08:56:56.8 UTC-06:00,1,1.8,,,,-105.5822951,40.04991788,3401.371,18.87,Global CS,
T,CO,TCOS1,b,TCOS1_a1,,,,,subplot,-105.5824957,40.0499741,3402.433,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 08:56:59.8 UTC-06:00,2023-09-29 08:56:59.8 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,18.474,Global CS,
T,CO,TCOS1,c,TCOS1_a2,,,,,subplot,-105.5824973,40.04996449,3402.072,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 08:57:04.4 UTC-06:00,2023-09-29 08:57:04.4 UTC-06:00,1,1.8,,,,-105.5822951,40.04991788,3401.371,18.212,Global CS,
T,CO,TCOS1,d,TCOS1_a3,,,,,subplot,-105.5824922,40.04996607,3401.986,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:57:07.4 UTC-06:00,2023-09-29 08:57:07.4 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,17.845,Global CS,
T,CO,TCOS5,a,TCOS5_a,,,,,subplot,-105.5824542,40.04994364,3400.705,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:57:24.0 UTC-06:00,2023-09-29 08:57:24.0 UTC-06:00,1,1.8,,,,-105.5822951,40.04991788,3401.371,13.941,Global CS,
T,CO,TCOS5,b,TCOS5_a1,,,,,subplot,-105.5824488,40.0499453,3400.652,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:57:26.8 UTC-06:00,2023-09-29 08:57:26.8 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,13.522,Global CS,
T,CO,TCOS5,c,TCOS5_a2,,,,,subplot,-105.5824505,40.04993494,3400.548,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 08:57:29.8 UTC-06:00,2023-09-29 08:57:29.8 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,13.451,Global CS,
T,CO,TCOS5,d,TCOS5_a3,,,,,subplot,-105.5824447,40.04993643,3400.509,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 08:57:33.0 UTC-06:00,2023-09-29 08:57:33.0 UTC-06:00,1,1.8,,,,-105.5822951,40.04991788,3401.371,12.978,Global CS,
T,CO,TCOS2,a,TCOS2_a,,,,,subplot,-105.5824761,40.04991016,3400.308,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:57:50.4 UTC-06:00,2023-09-29 08:57:50.4 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,15.498,Global CS,
T,CO,TCOS2,b,TCOS2_a1,,,,,subplot,-105.5824702,40.04991117,3400.277,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:57:53.0 UTC-06:00,2023-09-29 08:57:53.0 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,14.989,Global CS,
T,CO,TCOS2,c,TCOS2_a2,,,,,subplot,-105.582473,40.04990129,3400.063,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:57:56.2 UTC-06:00,2023-09-29 08:57:56.2 UTC-06:00,1,1.8,,,,-105.5822951,40.04991788,3401.371,15.31,Global CS,
T,CO,TCOS2,d,TCOS2_a3,,,,,subplot,-105.582467,40.04990218,3400.041,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:58:01.0 UTC-06:00,2023-09-29 08:58:01.0 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,14.79,Global CS,
T,CO,TCOS3,a,TCOS3_a,,,,,subplot,-105.5824695,40.04988057,3399.725,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:58:16.0 UTC-06:00,2023-09-29 08:58:16.0 UTC-06:00,1,1.5,,,,-105.5822951,40.04991788,3401.371,15.462,Global CS,
T,CO,TCOS3,b,TCOS3_a1,,,,,subplot,-105.5824637,40.0498817,3399.643,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:58:18.6 UTC-06:00,2023-09-29 08:58:18.6 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,14.95,Global CS,
T,CO,TCOS3,c,TCOS3_a2,,,,,subplot,-105.5824663,40.04987164,3399.552,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:58:21.6 UTC-06:00,2023-09-29 08:58:21.6 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,15.495,Global CS,
T,CO,TCOS3,d,TCOS3_a3,,,,,subplot,-105.5824607,40.04987302,3399.504,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:58:24.2 UTC-06:00,2023-09-29 08:58:24.2 UTC-06:00,1,1.8,,,,-105.5822951,40.04991788,3401.371,14.994,Global CS,
T,CO,TCOS6,a,TCOS6_a,,,,,subplot,-105.5824291,40.04992224,3400.204,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 08:58:44.2 UTC-06:00,2023-09-29 08:58:44.2 UTC-06:00,1,1.5,,,,-105.5822951,40.04991788,3401.371,11.475,Global CS,
T,CO,TCOS6,b,TCOS6_a1,,,,,subplot,-105.5824231,40.04992416,3400.167,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 08:58:47.0 UTC-06:00,2023-09-29 08:58:47.0 UTC-06:00,1,1.6,,,,-105.5822951,40.04991788,3401.371,10.975,Global CS,
