Site,Plot,Name,Point,Original_Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
S,CO,SCOT2,bottom,SCOT2,,,,,transect,-105.5743678,40.04907637,3368.631,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:04:48.2 UTC-06:00,2023-09-29 14:04:48.2 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,19.186,Global CS,
S,CO,SCO_soil,5,SCO_soil1,,,,,soil,-105.5744061,40.04931452,3381.926,Global,0.01,0.01,0.015,0.014,1.934,m,FIX,2023-09-29 14:08:41.0 UTC-06:00,2023-09-29 14:08:41.0 UTC-06:00,1,1.4,,,,-105.57459,40.04908057,3373.377,32.126,Global CS,
S,CO,SCO_soil,6,SCO_soil2,,,,,soil,-105.574368,40.04927258,3379.193,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 14:08:55.2 UTC-06:00,2023-09-29 14:08:55.2 UTC-06:00,1,1.7,,,,-105.57459,40.04908057,3373.377,29.573,Global CS,
S,CO,SCO_soil,7,SCO_soil3,,,,,soil,-105.5743837,40.04921776,3376.44,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:09:07.8 UTC-06:00,2023-09-29 14:09:07.8 UTC-06:00,1,1.3,,,,-105.57459,40.04908057,3373.377,23.82,Global CS,
S,CO,SCO_soil,8,SCO_soil4,,,,,soil,-105.5743706,40.04913773,3371.968,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 14:09:25.6 UTC-06:00,2023-09-29 14:09:25.6 UTC-06:00,1,1.2,,,,-105.57459,40.04908057,3373.377,19.785,Global CS,
S,CO,SCOS1,a,SCOS1_a,,,,,subplot,-105.5744345,40.04933181,3383.043,Global,0.01,0.01,0.018,0.014,1.934,m,FIX,2023-09-29 13:59:49.4 UTC-06:00,2023-09-29 13:59:49.4 UTC-06:00,1,1.7,,,,-105.57459,40.04908057,3373.377,33.013,Global CS,
S,CO,SCOS1,b,SCOS1_a1,,,,,subplot,-105.5744293,40.04933404,3383.025,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 13:59:52.0 UTC-06:00,2023-09-29 13:59:52.0 UTC-06:00,1,1.6,,,,-105.57459,40.04908057,3373.377,33.399,Global CS,
S,CO,SCOS1,c,SCOS1_a2,,,,,subplot,-105.5744291,40.04932543,3382.338,Global,0.014,0.014,0.042,0.02,1.934,m,FIX,2023-09-29 13:59:57.2 UTC-06:00,2023-09-29 13:59:57.2 UTC-06:00,1,1.6,,,,-105.57459,40.04908057,3373.377,32.365,Global CS,
S,CO,SCOS1,d,SCOS1_a3,,,,,subplot,-105.5744247,40.04932759,3382.127,Global,0.011,0.013,0.042,0.017,1.934,m,FLOAT,2023-09-29 14:00:19.4 UTC-06:00,2023-09-29 14:00:19.4 UTC-06:00,1,2.2,,,,-105.57459,40.04908057,3373.377,32.659,Global CS,
S,CO,SCOS5,a,SCOS5_a,,,,,subplot,-105.5744186,40.04932255,3382.115,Global,0.01,0.01,0.016,0.014,1.934,m,FIX,2023-09-29 14:00:30.4 UTC-06:00,2023-09-29 14:00:30.4 UTC-06:00,1,1.8,,,,-105.57459,40.04908057,3373.377,32.418,Global CS,
